layer,probe_accuracy,probe_f1,probe_auc,mean_diff_accuracy,random_accuracy,direction_cosine_sim
0,0.859,0.8650717703349282,0.935197642385803,0.711,0.502,0.18548174264718942
1,0.896,0.8994197292069632,0.9608839451598437,0.74,0.546,0.2468490519151063
2,0.909,0.9113924050632911,0.9661133000192197,0.786,0.443,0.29472634428018524
3,0.903,0.9059165858389913,0.9675868088923057,0.818,0.504,0.3221028273939824
4,0.913,0.915615906886518,0.9713266384778012,0.847,0.476,0.3216302053490384
5,0.92,0.9221789883268483,0.9714267409827663,0.862,0.53,0.3601651325527087
6,0.923,0.9250243427458618,0.9754308411813697,0.883,0.472,0.33431542096578953
7,0.941,0.9428848015488868,0.9770364853610096,0.862,0.478,0.32226295119014936
8,0.923,0.9250243427458618,0.9739493241078865,0.87,0.5,0.2698867032876857
9,0.926,0.9282945736434108,0.974045422512653,0.88,0.491,0.2746534015336979
10,0.912,0.9147286821705426,0.9685537990902684,0.852,0.484,0.25336700244665183
11,0.907,0.9094449853943525,0.9684797232365943,0.771,0.502,0.20626598970924687
